Tibetan	བོད་སྐད་	bod-000	ལག་པ།		གདོང་པ	ཐག་རིང་ཐུང༌	ལག་པ་འཆངས	དྲེག་འཁྲུ་རྒྱག	གློ་གྱག	ནང	བགོ་བཤའ་རྒྱག		གྲོགས་པོ	ཁྱིམ་ཚང		སྡོད བསྡད བསྡད སྡོད
Tigre	ቲግሬ	tig-000	እዴ													
Tigrinya	ትግርኛ	tir-000	ኢድ	ኩርናዕ ኢድ	ገጽ	ጉዕዞ	ትንካፈ	ሓጸበ	ሑአታ	ገዛ	ኣካፈለ		መሓዛ	ቤተ ሰባዊ	እምቢ	ጽንሒት
Tilquiapan Zapotec	Tilquiapan Zapotec	zts-000	na													
Tlingit	Lingít	tli-000	čí-n	-tˀeey	-wá		čooxˀ	ya-.oosʼ	a-d͜zi-kooḳ		gaa		-tˀaag̣í			
Toba Batak	Hata Batak	bbc-000	taNan		pipi			buri	oŋkap				puaŋ		daoŋ	m-ian
Tofa	tòfa dıl	kim-000	q3l										эш	өғ иъшті	йоӄ	
Toki Pona	Toki Pona	art-007	luka		sinpin		pilin	telo		tomo		kulupu	jan pona	kulupu mama	ala	awen
Tokyo Japanese	Tōkyō hōgen	jpn-003	te							uchi				uchi		
Tokyo Japanese	東京方言	jpn-041								家				家		
Tol	Jicaque	jic-000	na=mˈas													
Tongan	lea fakatonga	ton-000	nima	tuiʔinima	mata		pā	fufulu	tale	fale	vahevahe		kaumeʔa	fāmili	ʔikai	nofo
Tongwe	Bende	bdp-000	ibhoko					kunyaga	kosola							kusibha
Toro So	Toro So Dogon	dts-000	nùmɔ	lagú	giripara		tába	tɛ̀ɲɛ	kòdugie		kúlɔ		ánge		õṍ	bié
Torres Strait Creole	Yumplatok	tcs-000	an		bag											
Tosk / Tosk Albanian / Standard Albanian	toskërishte	als-000	dorë	bërryl	fytyrë	distanc	prek	laj	kollë	shtëpi	ndajmë	komunitet	mik	familje	jo	qëndroj
Towa / Jemez Towa	Jemez Towa	tow-000	mo*te													
Toyama	富山弁	jpn-049									なかまする				なーん	
Trukese / Chuukese	truk	chk-000	paaw				attapa							famini	-se	
Tsonga	xiTsonga	tso-000								kaya						
Tswana	Setswana	tsn-000	seatla	sɩ̀ʤábàná	sefatlhogo				χɔ́tɬʰɔ́lá	ntlo			tsala			
Tulu	ತುಳು	tcy-000			ನಸುಡಿ					ಇಲ್ಲು						
Tunisian	تونسي	aeb-000	يِدْ					غْسَلْ								
Turkish	Türkçe	tur-000	el	dirsek	yüz	mesafe	dokunmak	yıkamak	öksürük	ev	paylaşmak	topluluk	arkadaş	aile	hayır	kalma
Turkmen	türkmençe	tuk-000	el	tirsek	ýüz	aralyk	ellemek	ýuwmak	üsgürmek	öý	ülemek	umumylyk	dost	maşgala	ýok	myhman bolma
Tuvan	тыва дыл	tyv-000	хол	шенек	арын	аразы	дээр	чуур	чөдүртүр	аалында	кезек	община	өңнүк	өг-бүле	чок	артыр
Tübatulabal / Tubatulabal	Pakaːnil	tub-000	ma-n												hais	
Udmurt	удмурт кыл	udm-000	ки		ымныр			миськыны		корка			эш	семья	ӧвӧл	кыльыны
Ugaritic	𐎜𐎂𐎗𐎚𐎊	uga-000		𐎁𐎗𐎋												
Uighur / Uyghur	ئۇيغۇرچە	uig-000	قول		يۈز			يۇ-		يۇرت	بۆل-		دوست	ئائىلە	ياق	تۇر-
Ukrainian	українська	ukr-000	рука	лікоть	лице	віддаль	доторкнутися	прати	кашляти	дім	акцiя	спільнота	друг	родина	ні	затримуватися
Ulterior Mixe C	Ulterior Mixe C	sai-047	k373													
Umatilla	Imatalamłaamí sɨ́nwit	uma-000	apap													
Universal Networking Language	Universal Networking Language	art-253	hand	elbow(agt>human,icl>push,obj>volitional thing)	face(icl>plane)	distance(icl>separation)	touch(icl>sense of touch)	wash(icl>clothes)	cough(agt>volitional thing,icl>expel,obj>phlegm)	home(aoj>industry,equ>domestic)	share(icl>quantity)	community(icl>religious sect)	friend(equ>pal)	family(equ>ancestry)	no(equ>not any,icl>state)	stay(icl>event)
Unknown Demta dialect	Unknown Demta dialect	dmy-002	nama													
Unknown Yokuts variety	Unknown Yokuts variety	yok-010	hapapiCi													
Unknown dialect of Tabla	Unknown dialect of Tabla	tnm-003	moka													
Upcountry Sri Lanka Malay	Upcountry Sri Lanka Malay	sci-000	th~aNaN													
Upper Demjanka	Upper Demjanka	kca-009	keːt													
Upper Grand Valley Dani	Upper Grand Valley Dani	dna-000	igi akʊt													
Upper Inlet Tanaina	Upper Inlet Tanaina	tfn-004	=qun-a													
Upper Musa	Upper Musa	ngf-009	fake		diti											
Upper Nexaca Totonac	Upper Nexaca Totonac	tku-000	makan													
Upper Pyramid Dani	Upper Pyramid Dani	dni-003	egi													
Upper Sorbian	hornjoserbšćina	hsb-000	ruka	łochć	wobličo			myć	kašel	domizna	dźělić		přećel	swójba	ně	wopyt
Upriver Halkomelem	Halqʼeméylem	hur-003	cháléx													
Urdu	اردو	urd-000	ہاتھ	کہنی	چہرہ	فاصلہ	چھونا	دھونا	کھانسی	گھر	حصہ	برادری	دوست	خاندان	نہیں	رہنا
Ursari Romani	Ursari Romani	rmn-007	vast													
Urum	урум тили	uum-000											айахташ	тайфа		
Usher-Whitehouse Concepticon	Usher-Whitehouse Concepticon	art-271	0297	0295	0264		1031	0673	0335		0835		1211	0139	1139	0852
Uzbek	oʻzbek	uzn-000	qoʻl	tirsak	yuz	masofa	tegmoq	yuvmoq	yoʻtal	uy			doʻst	oila	yoʻq	
Uzbek	Ўзбекча	uzn-001	еzuv										дўст			
Vai	Vai	vai-001	kpɛ̀ʼɛ́	nɔ̀ɔ́	dṣé			kă								
Venda	tshiVenḓa	ven-000	tshanḓa	lukuḓavhavha	khofheni	vhukule	bune	-kuvha	luhuṱola	nnḓu	mukovhe		ṱhama	lusese	aÆaÆ	
Venetian	łéngua vèneta	vec-000	man	gùmio	faça		tocar	lavar	tosir	casa		xente	amigo	faméja	no	star
Veps	vepsän kel’	vep-000	käzi		mod			pesta		pert			sebranik	kanz		
Vietnamese	tiếng Việt	vie-000	tay	khuỷu tay	mặt	khoảng	sờ	rửa	ho	nhà	phân chia	cộng đồng	bạn	gia đình	không	ở
Vincentian Creole	Vincentian Creole	svc-000	han													
Vlaams	Vlaams	vls-000	hand		gelaat					huis			vriend	volk	nee	
Volapük	Volapük	vol-000	nam	kubit	logod			lavön	kögön	dom			flen	famül	no	
Vunjo / Wunjo	Kyivunjo	vun-000		ngokuo	kyaamu			sanja	ikor*uo							ir^io
Võro	võro kiil	vro-000	käsi					mõskma		kodo		allõv'	näio	pereq		
W. Mape	W. Mape	mlh-000	mep					kedzure-								
Waiká / Yanomámi	Yanomámi	wca-000	pei imɨkɨ	pei ešãnãmopɨ	pei mohekɨ		hupa-ɨ	yaru-u	õtʰõ-mou		šerere-aɨ		nohi		ma	no ta-pou
Walo / Dogon Bankan Tey	Walo	dbw-000	nǎ:	nà: tótôw	gìrè nûm		táwá	súkó	kòsò-kósò	úrò	kéríyé	púmmɛ̀rɛ̀	sìyⁿɛ̌ʼm	úrò	ḿʔm̀	bé
Warekena	Guarequena	gae-000	apiwe													
Warlpiri	Warlpiri	wbp-000	ḍaka	matiṭiɟi	kirwa		manpini	mogu mani	kuntulkaɹ̣i				wuŋuwaṇu		kili-	ɲinami
Waropen	Waropen	wrp-000	waha								bage				[wo]mo	
Welsh	Cymraeg	cym-000	llaw	penelin	wyneb	pellter	cyffwrdd	golchi	peswch	cartref	rhannu	cymuned	ffrind	teulu	na	arhosiad
West Chadic	West Chadic	cdc-002	gùlɔ̀ bɔ́nú	àŋgúlɔ́fánú									bana			
West Coast Bajau	West Coast Bajau	bdr-000	taNan													
West Damar	West Damar	drn-000	ʼlima												ʼkɛve	
West Frisian	Frysk	fry-000	hân	earmtakke	gesicht	ôfstân	fiele	waskje	hoastje	hûs	partsje	lju	freon	famylje	gjin	ferbliuw
West Greenlandic	West Greenlandic	kal-002	assak													
West Kara	West Kara	leu-002	lima													
West Makian	West Makian	mqs-007	kamma													
West Oromo	West Oromo	gaz-002	harka													
West Sakhalin Gilyak	West Sakhalin Gilyak	niv-005	t3mk													
West Sela	West Sela	kpq-001	sae	lin									nimi ùrùn		kùm	
West Tarakiri	West Tarakiri	ijc-024	bira													
West Uvean / Faga Ouvéa	Fagauvea	uve-000	lima													
Western Abenaki	Aln8ba8dwaw8gan	abe-000	welji	mkeskuan	ondokazi			kazebaadigamuk	wesgoin8gan						nda	
Western Agaw Falasha	Kemant	ahg-000	naːn-tɛt	kozär	gäš		daːnex	nixa	yin				ykaläntaː		aɣaːɣ	adaɣ
Western Apache	Ndee biyatiʼ	apw-000	la7							gowąh			chʼoondé			
Western Arrernte	Arrernte	are-000	illcha												ai-id-ja	
Western Atakapa	Western Atakapa	aqp-000	woS													
Western Balochi	Western Balochi	bgn-002	8as8													
Western Balti	Western Balti	bft-008	lakth~il													
Western Bukidnon Manobo	Western Bukidnon Manobo	mbb-000	bɨlad												kɨnɨq	
Western Cakchiquel Patzun	Western Cakchiquel Patzun	cak-004	q"a7													
Western Cham	Western Cham	cja-000	tagon													
Western Gondi	Western Gondi	gno-001	kay													
Western Maninkakan	Western Maninkakan	mlq-000	bolo													
Western Panjabi Shahpur	Western Panjabi Shahpur	pnb-003	hatth~													
Western Poqomchi	Western Poqomchi	poh-001	q"ab"													
Western Purépecha	Pʼurhépecha	pua-000	jájki													
Western Quiche Momostenango	Western Quiche Momostenango	quc-011	q"ab"													
Western Quiche Santa Catarina Ixtahuacan	Western Quiche Santa Catarina Ixtahuacan	quc-012	q"ab"													
Western Quiche Totonicapan	Western Quiche Totonicapan	quc-013	Xab"													
Western Shoshoni	Western Shoshoni	shh-003	moʼo	kiippeh	kopai			kwaitsoiH					haintseh		ka̲i̲	
Western Tzutujil	Western Tzutujil	tzj-003	q"ab"ax													
Western Yiddish	Western Yiddish	yih-000	hant													
Westvlams	Westvlams	vls-001	ant													
White Lachi	White Lachi	lwh-001	m													
White Striped Riang	White Striped Riang	ril-002	ti7													
Whitesands Iarkei	Whitesands Iarkei	tnp-001	Lima													
Whitesands Loniel	Whitesands Loniel	tnp-002	Lma													
Wolof	kàllaama wolof	wol-000	loxo	cóñcó	xarkanam		laːl	raxas	soj		wat		xarit	waa kër	déedéet	dɛs
Woods Cree	nēhiýawēwin—asinīskāwiýiniw	cwd-000	CiCiy													
Wu	吴语	wuu-000	sEi													
Wu-ming	Wu-ming	zyb-004	fǎɩ̈ 31		na 55			θɩ̈i 24								ˀjǎu 24
Wuming Variation	Wuming Variation	zyb-003	faɯ˧˩		nɑː˥			θɯi˩˧								ˀiɐu˩˧
Wymysorys	Wymysiöeryś	wym-000	haond							haom					ny	
Xanaguia Zapotec	Xanaguia Zapotec	ztg-000	na													
Xhosa	isiXhosa	xho-000	isandla	ingqiniba	ubuso				ukhohlokhohlo	ikhaya			netshomi	umndeni	hayi	
Xixia / Minia / Tangut / Mi-nia / Xi Xia / Western Xia	mi na	txg-002	shwa	kewr	ve		lu	lwu	tsu		ka			ni	my	le
Xixia / Minia / Tangut / Mi-nia / Xi Xia / Western Xia	mji nja̱	txg-000	śjwa	zew	njijr		lju	lwu	tsụ		lo			nji	mjɨ	dźji̱j
Xixia / Minia / Tangut / Mi-nia / Xi Xia / Western Xia	𗼇𗾧	txg-001	𗁅	𗈒	𗍼		𗯲	𗋲	𘚺		𗝁			𗫌	𘖑	𗽷
Xochiltepec–Huatlatlauca Nahuatl	Xochiltepec–Huatlatlauca Nahuatl	ncx-000	maci													
Yakama / Yakama Sahaptin	Ichishkíin Sɨ́nwit	yak-000	ipáp	kʼáshinu	tpísh				kʼukʼúwit	iniit	tamíinawit		pásiks	ttáwaxt	cháw	
Yangben	nuasúɛ	yav-000	mb~ok													
Yaqui / Hiaki	Yoem Noki	yaq-000	mamam	techom	pujba		bwise	baksia	tase	hoara	naʼikimte		joiwai	yoemia	kaa	
Yareni Zapotec	Yareni Zapotec	zae-000	na													
Ye'kuana	Ye’kuana	mch-000	amod3													
Yedina	Buduma	bdm-000	yumai													
Yemen Sanaani Arabic	Yemen Sanaani Arabic	ayn-000	iad													
Yi / Nuosu / Sichuan Yi	ꆇꉙ	iii-000	ꇇ		ꀑꑊ	ꇢ	ꉩ	ꋋꑻ	ꊫ	ꅍ	ꁸ		ꐋꀨꐥꊈ	ꏤ	ꂸ	
Yiddish	ייִדיש	ydd-000	האַנט	עלנבויגן	פּנים	מהלך	אָנרירן	וואַשן	הוסטן	היים	אַקציע	עדה	פֿרײַנד	משפּחה	ניין	בלײַבן
Yonaguni	ドゥナンムヌイ	yoi-001								だー			どぅち			
Yonaguni	与那国物言	yoi-000								家			同士			
Yongnan Central Hongshuihe Zhuang	Yongnan Central Hongshuihe Zhuang	zch-006	mei													
Yoruba	èdè Yorùbá	yor-000	ọwọ	ìgbọ́nwọ́	ojú		ìfọwọ́kànìmọ̀ìfọwọ́bà	wẹ́	ikọ	ilé	pínṣe àjọpín	ará ìlúẹgbẹ̀	ọ̀rẹ́	ìdílé	rárá	dúró níbìkandá dúrófimọ
Young Avestan	Young Avestan	ave-002													nōiṯ	stā
Yucatec Maya	Maaya Tʼaan	yua-000	k’ab	kuuk	ich	naachil		pʼoʼik		otoch	hatsik		amigoo	ch’i’ibalil		pʼatal
Yurok	saa'agoch	yur-000	chewes	prwkwish	tewey			chʼewoluhl	herikw	oʼlehl			rahchin		paas	
Zacatepec Chatino	Cha7³¹ tinyan³	ctz-000	ya7	skuʔ	tlō-		kalaʔ	hʸaʔã	tʸūʔ		kuc̷a		taʔa	taʔa	ha ...	kinũ
Zaramo	Zaramo	zaj-000	mkono	ko	kihanga			chamba	kolola	kumwetu						isigala
Zarma / Djerma	zarmaciine	dje-000	kambe	kambe gollo	mo duma	jandi	lamba	ɲuma	koto	fu	zaban		cale	almayaalo	abada	
Zhuang / Standard Zhuang	Vahcuengh	zyb-000	fa.3 fɨ:ŋ.2													
Zimakani—Babwa/Lake Murray	Zimakani—Babwa/Lake Murray	zik-002	ǯenda		kisi											
Zinacantan Tzotzil as of 1600	Zinacantan Tzotzil as of 1600	tzo-004	k"obil													
Zo'é	Joʼé	pto-000	po													
Zulu	isiZulu	zul-000	isandla	indolowane	ubuso	iduze		-geza	-khwehlela	ikhaya		umasipala	umngane	umndeni	cha	ukuhlala
Zuni	Shiwiʼma	zun-000	asinne	mokči-	noponni-		yate-	kˀošo-	ʔoho-		pači-		kuwaye		ʔeɬɬa	
	!Kung	knw-001	ɡ!̯ȁȕ													
	!Kung	ktz-001	ǁ̰au													
	!Xóõ	nmn-000	ǀkxʼàa		sàʻã			tṵhle							ʻĩĩ	
	#Haba	nhr-001	cáù													
	%suomi	fin-002	kEsi													
	'Auhelawa	kud-000	nima-												nigele	
	'eüṣkara	eus-002	’eṣkü	be’ṣaɲko	begi’tʰarte		’hũki	’šãhã	’estü’l egin		’pʰarti		’lagün	fa’milia	es	’egon
	=Dan	dnj-000					Pa									
	=Hoan	khi-005	šiu													
	A-Pucikwar	apq-000	oNkoro													
	ALCAM 120	art-267	011					091								
	Abaga	abg-000	azanaʔaⁱ	nezanaⁱ ompaʔaⁱ					kuhukuhu nize						megɛze	
	Abar	mij-000	i=can					iwu								
	Abaza	abq-001	na-pʼə													
	Abidji	abi-000	bɔ́					fìè	kɪ̀ lɪ́kɪ̀				àmʊ̃́ãʏ̈			
	Abipon	axb-000	apaquena													
	Abirpara Mahali	mjx-000	ti	kihini	mɛt moʈʃa			aɾup					ɡatɛ			
	Abron	abr-000	ǹzá					síʔ	bɔ̀ m̀mɔ́bɔ́				damvo			
	Abua	abn-000	E83xEx													
	Abui	abz-000	tang	moomal	pong	loh	paneei	wel	towai	melang			kaai	totilaka	dooma	afen
	Abui Takalelang	abz-003	=tˈáŋ													
	Abui—Atimelang	abz-001	tˈaŋ													
	Abui—Makadai	abz-002	nataN													
	Abujhmaria	mrr-000	kay													
	Abul	hbn-001	di													
	Abulas	abt-000		kwaty mwk				yak	yar kələ							
	Abung Sukadana Lampung Nyo	abl-004	puN3*o*													
	Abuu Shaarib	mgb-001	woiː													
	Acatec	knj-000	q"ab"												kʼamaj	
	Achaemenid Elamite	elx-000	kur-										duk-ti-ir		in-na	
	Achama	mea-001	òbʷɔ́					nɨ́sò								
	Achang	acn-000	lo7													
	Achi—Rabinal	acr-001	Xab"													
	Achuar	acu-000	uweh													
	Aché	guq-000	ipo	ǰɨwa kmana	čãʔã		poko	bioʔo	ǰuʔu		bowo		bɨʔɨ		-yã	weǰapɨrã
	Adang Pitung	adn-000	ataN													
	Adilabad Gondi	wsg-001	kay													
	Adumanis Ulu Komering	kge-001	puNu													
	Aekyom	awi-000	kenete	kikwote					tʰige						wɛren	
	Afrikaans	afr-000	hand	elmboog	gesig	afstand	raak	was	hoes	huis	aandeel	gemeenskap	vriend	familie	nee	verblyf
	Agala	agl-000	debogo*													
	Agarabi	agd-000	daːmi					teteʔo								
	Aghu	ahh-000	bodo					ün-oɣo kun-	adim-o sik-							
	Agi	mgd-001	dri													
	Agob-Bugi	paa-007	traŋ-qab	tran-qimbe	yet											
	Agta	dgc-000	kaʼmɨt					ugés	ikeh						qɨʼwan	ián
	Agta	duo-000	kamat													
	Aguacateco	agu-000	q"ab													
	Aguacateco—Aguacatan	agu-001	q"ab"													
	Aguaruna	agr-000	uwɨ-h	čigʼkun	yapi		awatut	nihat	uhutut		tina-mat		kumpag	paʼta	aʼc̷a	ʼhuwat
	Agöb—Dabu	kit-000	tan-kolo	tankum	yiŋar				kumie				ŋumkum-rabo		dunai	
	Ahanta	aha-000	sola													
	Aheave	xeu-002	mei													
	Ahlo	ahl-000	kafu													
	Ai Banda	bpq-000	taNaN													
	Ai-Cham	aih-000	my~i													
	Aichi-ben	jpn-072					naburu									
	Aiku	ymo-000	pamb~am													
	Aimele	ail-000	debe													
	Aiome	aki-000	afrɨŋgɨn													
	Aiton	aio-000	mǝ.2													
	Aizi	ahi-000	sʊ	gbotoŋu			ɓra	le	kʊkɔ				gre do			ka
	Ajie	aji-000	nexara*		némèè											
	Aka	soh-000	car-ga	kəːda	ʊmɔː-di		ləkədan		aggeːse				mərgəna		uʔu	
	Aka	axk-000	dando													
	Aka Bo	akm-000	on korodo													
	Aka Kol	aky-000	onkore													
	Aka-Jeru	akj-000	er-ʈɔŋ	ebalataraɖole	cɔk		kaɲ	ereːɲsirbe	koːt	araʈʰimikʰu			mele		šɔ	kɛle
	Aka-Kede	akx-000	om koro													
	Akar-Bale	acl-000	koro													
	Akara	are-002	ilty~a													
	Akawaio	ake-000	miyaꞌ	pereiꞌ	emʉꞌ			kumisi			ekamʉ			tonpa	kane	ukoꞌmamʉ
	Ake	aik-000	taplabw~a													
	Akei	tsr-000	lima													
	Akei Penantsiro	tsr-001	lima													
	Akei Tasiriki	tsr-002	lima													
	Akha	ahk-000	ahv lahxv	lahxv tsuuhxv	myahxf pyawv		toeuhv dtoohxf urh	meehv tsoeuhv lehv tseehv urh	oohxv choeuhv choeuhv urh	eehf kauhf	shahv bymmf bymmf urh		chawv		mahxv	
	Akita	okd-000	bara													
	Akrukay	afi-000	apar													
	Akunnu	ibe-000	ɔ̄=bɔ̄													
	Akwa	akw-000	bogo													
	Akwawa	asu-000	pa													
	Akye	ati-000	bɔ		hɛ̃			fwɨ̂	kpɨ hɛ̃ʏ̈				kɛ			
	Alaba-K’abeena	alw-000	angɛt													
	Alagwa	wbj-000						ħunts								
	Alamblak	amp-000	tʰiwapitʰ	tilingʌnʌgar									yimatr		nɨɣaⁱ	
	Alawa	alh-000	murzji	murzinji	gulurz		jaw-engedenyunu	-anga					jawa		mandi	durr-anda
	Alfendio	afd-000	godok	nigumu ŋok											arɨn	
	Alinga	tvu-001	kat													
	Alladian	ald-000	ɛmãʏ̈					gõʏ̈	kròkrù				-ɲrã́			
	Alor	aol-000	limaN kalumak													
	Alor Malay	ind-001	sorong	siku	muka	gonggong	raba	cuci	batuk	ruma	bagi		sobat	keluarga	jangan	tinggal
	Alor—Barahusa—Kabir	aol-001	limaN													
	Alor—Kalabahi	aol-002	limaN													
	Alsea	aes-000	tamt3m													
	Alur	alz-000	CiN													
	Alutiiq	ems-000	aigaq												qang'a	
	Alyk	kry-001	χab													
	Alyutor	alr-000	kax3sq3lN3n													
	Ama	amm-000	nainʌ	nãːtəko					imãːmlɒ						wʊɸaʔ	
	Amadi	msj-000	à-bɛ́	à-ŋgbútùkù-lɔ́	yɛ̂fá-lɔ́			kpɔ́rà								
	Amahai	amq-000	rima												aya	
	Amahuaca	amc-000	mukun													
	Amaimon	ali-000	gag3ly~	benegeta	mukwain			agis-	kɛtumu-						oːkim	
	Amanab	amn-000	niNa	mokug												
	Amara	aie-000	lume												imna	
	Amarag	amg-000	imaṛa	waːḷ	wiːl			anbilgin							aḷḍau	
	Amarakaeri	amr-000	wamb~a7													
	Ambadairu	yva-001	anem													
	Ambai	amk-000	waraŋ												kaha	
	Ambajhariya Mundari	unr-002	tiˈhi	daˈɽʰi	ʧeɦˈra								gaˈti	ʧitʔaˈi hoɽo		
	Ambakich—Porapora	aew-000	dop	doŋan					katačɪl						ambakɨ	
	Amblong	alm-000	luma													
	Ambulas	abt-001		kwaty mwk				yakw	walyʌ							
	Ambulas—Maprik	abt-002	tabasék	kwatitaba	ménidaama		yatdu	gu yaakutakna	atéku kaa				gayé du	kém	kaapuk	rasaaku
	Amdang	amj-000	náaŋ													
	Amele	aey-000		suʔul	ola-			yo-	otolɛ-						pɛ	
	Amganad Ifugao	ifa-000	taqʼle												boʼkon	
	Amgotro	kbv-000	wada													
	Ami	amy-000	nuNku													
	Amol	alx-000	ambaiyɛŋ												oru	
	Amondava	adw-000	poa													
	Amri Karbi	ajz-000	aree	ripong	mahang		papho		ingthum	hem	pharman		jirpo			kedo
	Amto	amt-000	nä	netomwä					nitɔkə arine						həmyək	
	Amuesha	ame-000	otac													
	Amuzgi	dar-013	naˤqˤ													
	Anaang	anw-000	ka obok	ítód ɔ́kwàŋá	ísó		tóók	ɟɛ́d								
	Anaiwoi Bajau	bdl-004	taNaN													
	Anam	pda-000		umbuŋgiŋguŋ	aguŋgrʉ			wiram-	mʉnu tugu-						nəma	
	Anamgura	imi-000		-dumpa	tambuŋgənamba			-pɨgram-	mʉnʉp tu						nima bratia	
	Andai	afp-002	kodok													
	Andaqui	ana-000	saka													
	Andoke	ano-000	domi													
	Andri	mgd-002	dri													
	Anej	gly-000	bitʼɛn													
	Anem	anz-000	timnin					uŋak								
	Aneme Wake	aby-000	vana	wanasi	iboi-naisa				ɛkɔrɔ						mɛ	
	Anfillo	myo-000	keːšo													
	Angaatiha	agm-000	ikwirɨ	nahotaːha					nahosɨn-taːse						awetise	
	Angaité	aqt-000	amik	aohaktoŋ	napaat		-pakninwakmi	ankilaɬnaski	apkaknakɬima		ankinaskiyi		aɬiaɬma		ama	apyaihimaha
	Angal	age-000							ot ɫe							
	Angaua	anh-000		esa	emensəŋ			iram-	kŋiwa-						neːndi	
	Angguruk Yali	yli-000	igik													
	Angkola	akb-000	simangido													
	Angolar	aoa-000	mo													
	Angor	agg-000	war3													
	Angoram-2	aog-002	nangri													
	Angoram-4	aog-000	yangri													
	Angoram—Kambrindo	aog-001	pʰonom												antʰakʰiə	
	Anib	kni-000	wok													
	Animere	anf-000	nyɔtaa													
	Aniwa	fut-001	rima													
	Anor	anj-000	omagnen													
	Anshun-Gelao	gqu-001	mpau.2													
	Ansongo	taq-001	ə́-fus	t-i-ɤə́mmɑr	ìdmɑw-æn		-t-əd̩d̩ɑ́s-	-s-æssæ̀ræqqæ-t	t-ì-su-t-en		ùz̩ɑn		i-m-ìdɑw-æn	e-ɡǽdæš		-t-ɑ̀zæbbɑ-t
	Ansus	and-000	wara													
	Antoniaño	sln-000	menen													
	Anuak	anu-000	činɔʔ													
	Anuta	aud-000	nima													
	Anyanga	ayg-000	gə̀bá													
	Anyi	any-000	àsǎ-tàsâ					kpʊ́	bɔ̀ ɛ̀tã́ŋgɔ̀				mìèŋgʊ̃ʏ̈			
	Anyumarla	gue-001	murna	juurtu	lungarn										kula	
	Aoma	ema-001	bo													
	Aomie	aom-000	ouad3					eguə-							bəgə	
	Aomori hōgen	jpn-010					chosu						keyagu			
	Aore	aor-000	pisu													
	Ap Ma	kbx-000	iapaŋ däma	ambuon					wutende ma mil						abma	
	Apalaí	apy-000	ema													
	Apali	ena-000		kʌŋgwanʌm	tʌmga			sɛram-	mʉti dukʌw-						kumʌ	
	Apiaca	api-000	poa													
	Apinaye	apn-000	i*kra													
	Apma	app-000	Na													
	Apoi	ijc-002	bira													
	Apurinã	apu-000	Xako													
	Aputai	apx-000	ʼlima													
	Arabana	ard-000	maɹ̣a	mampuaḍi	mid̪l̪a		itma-								maʎca	t̪aŋka-
	Arabe	shu-000	id													
	Arabishi	gwn-002	nan													
	Aralle	atq-000	taie													
	Arammba	stk-000	mbʌ	daŋkʷɔti	meːn				gregrea							
	Aramo	pnn-001	nəsa												wəhoɔ	
	Aranda	are-004		maka												
	Arandai	jbj-000	n-omboro	netugedo					dondoná-							
	Arandai—Tarof	jbj-001	yobora													
	Aranduyiwar	gwt-000	ast													
	Araona	aro-000	e-me	bac̷o	e-bo		ic̷oba	lokʷa	oto				c̷ihabati		ma	ani
	Arara Pano	knt-001	buhi													
	Araweté	awt-000	po													
	Arawum	awm-000		moːl	tʰumam			pisi-	tukulɛto-						gʌraga	
	Arbore	arv-000	laba													
	Arevmdahayeren	hyw-001	c̷erk	armung	yeres		tbil	lval	hazal	hayrenik`	xopʿ		paregam	əndanik	votsch	mnal
	Argobba	agj-000	3nji													
	Arguni	agf-000	ruma-													
	Arhintinap runasimin	qus-000	maki		uya		chamkay	mayllay	uhuy	mama		llaqta	yanasu	ayllu	mana mayqan	tiyay
	Aria	mwh-002	limla													
	Aribwatsa	laz-000	bagiN													
	Aricapú	ark-000	niku													
	Ariepi	yva-002	anem													
	Arigidi	aqg-000	owo													
	Arikara	ari-000	iS													
	Arin	xrn-000	pʸʰyaga													
	Arogbo	ijc-003	bira													
	Arop Lokep	apr-000	bɑɛnɛ	surkɑnɑ					iwuk						tiɑp	
	Arosi	aia-000	ruma-na													oʔa
	Arosi Tawatana	aia-005	rima													
	Aruop	lsr-000	ʔlaʔ												arop	
	Arutani	atx-000	maSa													
	As	asz-000	-npa												-ga	
	Asadli Khorasani	kmz-000	El													
	Asaroʼo—Morafo	mtv-000	ose	əsusuai					loksa						saja	
	Asas	asd-000		wau-	moː			os-	heisou-						ɸa	
	Ashanti	twi-001	nsa													
	Ashe	ahs-000	bok													
	Asheninca	cpu-000	ako													
	Asheninka Pajonal	cjo-000	ako													
	Asheninka Pichis	cpu-001	ako													
	Asheninka Ucayali Yurua	cpb-000	ako													
	Ashret Phalura	phl-001	hath~													
	Ashti	dar-014	naˤqˤ													
	Asháninca	cni-000	nako													
	Asilulu	asl-000	limE													
	Asilulu Lima Rumahsosal Nuwetetu	asl-001	pala													
	Asilulu Lima Waraka	asl-002	pala													
	Askopan	eiv-000		otopito					maŋotonoi						apanɛkɛ	
	Asmat Yaosakor	asy-000	ban													
	Asoa	asv-000	ete	tɛ́kɔ́súɛ̀				kuba								
	Assan	xss-000	henar													
	Asue Awyu	psa-000	bidɛ́	bide-bun				ɛ kin-	ɛs-ó si-							
	Asuri	asr-000	tɪː-reː								haːʈɪṅ		gatɪː-kuː		kuan ~ koan	
	Asurini	asn-000	pa													
	Ata Manobo	atd-000	bolad												konoq	
	Atalla	quy-002	maki													
	Atchin	upv-000	wera													
	Atemble	ate-000		sʉgʉ	aŋgamam			anda ɟi-	tuan kw-						nʌːndə	
